ID	Adres	Soort	Datum	Omschrijving	Foto	COORDS	longitude	latitude
400	Spaarnwouderdijk 105	Bom, granaat, afweergeschut	09/11/1940	Niet-ontplofte bom. Op 8 mei 1941 tot ontploffing gebracht		POINT(4.833641 52.385043)	4,833641	52,385043
401	Kruislaan 441	Bom, granaat, afweergeschut	30/06/1941	2 ontplofte mijnbommen en ongeveer 48 brandbommen. Seinhuis intact gebleven, bijgebouwen veel schade. `Een electrische draad van de Spoorwegen is uitgezakt`. Glasschade aan Johannes van der Waalsstraat 107 hs. en Kruislaan 411.  2 gewonden.		POINT(4.951283 52.354255)	4,951283	52,354255
402	Frogerweg. Groote IJpolder	Bom, granaat, afweergeschut	05/07/1941	Inslag van onontploft 7½ cm luchtafweerprojectiel in pootaardappelenbewaarloods. Schade aan ruiten en betonnen vloer		POINT(4.740815 52.423099)	4,740815	52,423099
403	Commelinstraat 58	Bom, granaat, afweergeschut	14/07/1941	Brandbom. [In totaal 17 lichtgewonden]		POINT(4.924662 52.363315)	4,924662	52,363315
404	Rhijnvis Feithstraat	Overig	14/07/1941	Lichtkogel. `welke door het dak en den zolder heensloeg en op de 2e étage bleef steken. Geen gewonden, schade aan meubilair, zolder en dak.`		POINT(4.859959 52.360198)	4,859959	52,360198
405	Bloemendalergouw	Bom, granaat, afweergeschut	19/07/1941	8 bommen gevallen en geëxplodeerd; 5 daarvan op het land van P. Spelt, Holysloot 5C, en 3 op het land van M.C. van Zanten, Holysloot 7C Kraters van ongeveer 8 meter, schade aan vensterruiten. Geen doden of gewonden		POINT(5.024647 52.409115)	5,024647	52,409115
406	Schaepmanstraat 20	Bom, granaat, afweergeschut	13/08/1941	Een niet-ontploft projectiel kaliber 7,8 cm op de straat gekomen en in de grond gedrongen. `De blindganger wordt hedenmorgen verwijderd.`		POINT(4.870833 52.379671)	4,870833	52,379671
407	Scheldestraat 115, 119, 121	Bom, granaat, afweergeschut	15/08/1941	Brandbom		POINT(4.890815 52.344696)	4,890815	52,344696
408	Amsteldijk 1	Bom, granaat, afweergeschut	15/08/1941	Brandbommen `Op den rijweg uitgebrand. Geen schade.`		POINT(4.903794 52.358545)	4,903794	52,358545
409	Schiphol	Luchtaanval	10/05/1940	Bommen. Om 04.12 uur werd met drie autospuiten, een autoladder en een baby-uitrukvoertuig uitgerukt naar de Luchthaven Schiphol, gemeente Haarlemmermeer, waar na bombardementen grote branden waren ontstaan. Na een tweede luchtaanval, waarbij twee brandweerlieden werden gedood, werd de blussing gestaakt.	D10067001160.jpg	POINT(4.802914 52.309161)	4,802914	52,309161
410	Schiphol	Vliegtuig(onderdeel) neergestort	30/08/1941	Vliegtuig neergeschoten.		POINT(4.799738 52.314985)	4,799738	52,314985
411	Buikslotermeerdijk	Bom, granaat, afweergeschut	08/09/1941	Engels vliegtuig brandend neergestort. Geen bemanning aangetroffen Geen schade aan woningen		POINT(4.954405 52.406988)	4,954405	52,406988
412	Haarlemmerweg	Vliegtuig(onderdeel) neergestort	20/10/1941	Duits vliegtuig brandend neergestort. `Uit nadere berichten blijkt, dat geborgen zijn een doode en een arm, niet aan den doode toebehoorend. Verder is gevonden op de Orteliuskade b/d van Spilbergenstraat een gewonde, die met een parachute uit het vliegtuig was gesprongen. Doode, gewonde en arm zijn door den G.G. & G.D. naar het Luftwaffenlazaret, alhier, overgebracht.`21 oktober 1941: `Het blijkt, dat bij het vliegtuigongeluk ik den avond van 20 October 1941 een koe gedood is, eigenaar C. v. Lubeck, Sloterweg 266, waarde f. 600,-, eigenaar van het land, waar het vliegtuig is neergestort: het Burgerweeshuis, alhier.`		POINT(4.806819 52.385475)	4,806819	52,385475
413	Schiphol	Bom, granaat, afweergeschut	20/10/1941	`Luchtbeschermingsdienst Hoofddorp meldt: zijn uitkijkpost heeft om 2.05 een bom zien neerkomen op Schiphol.`		POINT(4.806347 52.311837)	4,806347	52,311837
414	Keizer Karelweg	Bom, granaat, afweergeschut	30/01/1941	Bominslag. 5 doden, verschillende zwaargewonden.		POINT(4.856558 52.306386)	4,856558	52,306386
415	Dorpsstraat Holysloot	Bom, granaat, afweergeschut	15/01/1942	Brisantbom neergekomen en ontploft. `De materieele schade beperkt zich, voor zoover in de duisternis is vast te stellen, tot het springen van de vensterruiten van de Gemeenteschool te Holysloot.` Geen persoonlijke ongevallen.		POINT(5.020237 52.412996)	5,020237	52,412996
416	Hemweg 139	Bom, granaat, afweergeschut	11/04/1942	Granaat van het afweergeschut ontploft. `Geen schade, alleen een gat in den grond.` Geen persoonlijke ongelukken. Eigenaar van het land is de landbouwer De Jong, Hemweg 139		POINT(4.825702 52.417197)	4,825702	52,417197
417	Obistraat 4, nu Obiplein	Bom, granaat, afweergeschut	11/04/1942	Granaat van het afweergeschut ingeslagen door de voorzijde van het dak van het Zusterhuis Theresiastichting en op de zolderverdieping tot ontploffing gekomen. Grote schade aan de zolder en daaronder gelegen slaapzalen van de zusters; in de Dr. Voûteschool, Obistraat 9, zijn ongeveer 14 ruiten vernield. Geen persoonlijke ongelukken		POINT(4.938263 52.360349)	4,938263	52,360349
418	Sloterweg 316	Bom, granaat, afweergeschut	14/04/1942	Kleine brisantbom neergekomen en geëxplodeerd. Gat in de grond van het weiland van ongeveer 1,5 meter diameter. Geen persoonlijke ongelukken		POINT(4.772401 52.332874)	4,772401	52,332874
419	Noorderakerweg	Bom, granaat, afweergeschut	31/05/1942	Engels vliegtuig neergestort. Onderdelen van het vliegtuig en een onderbeen neergekomen aan de Amsterdamse kant van de Ringvaart; elektrische kabel beschadigd		POINT(4.775834 52.348619)	4,775834	52,348619
420	Plaatijzerweg 42, nu Zamenhofstraat	Bom, granaat, afweergeschut	02/06/1942	Scherf van granaat van het afweergeschut ingeslagen. Een ruit vernield. Geen persoonlijke ongevallen.		POINT(4.926596 52.388382)	4,926596	52,388382
421	Akerweg	Vliegtuig(onderdeel) neergestort	04/06/1942	Een halve vliegtuigvleugel gevonden.		POINT(4.795876 52.342032)	4,795876	52,342032
422	Velserweg 207	Bom, granaat, afweergeschut	04/06/1942	Een halve vliegtuigvleugel gevonden 		POINT(4.845491 52.386664)	4,845491	52,386664
423	Krommeniestraat 21	Omgevingsschade	27/08/1942	Schade		POINT(4.875315 52.391270)	4,875315	52,39127
424	Ouderkerkerdijk	Overig	02/10/1942	Gedeeltelijk ontbrand. Geen schade en geen persoonlijke ongevallen		POINT(4.900814 52.330297)	4,900814	52,330297
425	Ouderkerkerdijk 150	Bom, granaat, afweergeschut	21/10/1942	Ongeveer 40 staafbrandbommen. Een schuurtje op het sportterrein licht beschadigd		POINT(4.905224 52.328363)	4,905224	52,328363
426	Osdorperweg 333	Overig	10/10/1942	Op het land van Cornelis Roos, , Een gescheurde gummiballon gedaald met een springlading ter grootte van een conservenblik met lont Geen schade.		POINT(4.787636 52.360951)	4,787636	52,360951
427	Nieuwemeerdijk	Luchtaanval	12/12/1942	Schepen beschoten door Engelse vliegtuigen met boordwapens. 9 gewonden.		POINT(4.805081 52.331904)	4,805081	52,331904
428	Volewijkspark	Vliegtuig(onderdeel) neergestort	20/12/1942	Vliegtuig brandend neergeschoten . Schade aan plantsoen.  Archief 5225-6488 Politie dagrapporten. 2 december 1942. 22.40  Ip. De Vries Humel rapporteert dat te 21.15 uur een vliegtuig brandend is neergestort in het Volewijkspark, alhier. Een vermoedelijk Engels marconist kwam terecht in een dakkamertje van perceel Adelaarsweg 116, alhier. En werd daar dood aangetroffen terwijl een been op den Adelaarsweg voor perceel 116 lag. De brand werd door de brandweer gebluscht met 30 stralen en twee schuimapparaten. De bewaking van het vliegtuig is overgenomen door de Duitsche Weermacht, eveneens het lijk van den marconist. Op last van de Duitse weermacht wordt het Volewijkspark door een detachement van het Politie-Bataljon afgezet. Tot nu toe werd slechts schade vastgesteld aan het dak van het perceel Adelaarsweg 116, alhier, in gebruik bij H. J. Licher, Brigadier van politie. Een afschrift van dit rapprt naar H.B. kamer 16 verzonden.  		POINT(4.921746 52.393568)	4,921746	52,393568
429	Noorderweg 192	Bom, granaat, afweergeschut	29/01/1943	5 brisantbommen gevallen en geëxplodeerd. Op het land van A. van Woerkom.		POINT(4.740858 52.428699)	4,740858	52,428699
430	Durgerdammergouw 157	Mitrailleurvuur	12/03/1943	Vermoedelijk door mitrailleurvuur brand ontstaan in de schuur waarin stro en landbouwwerktuigen waren opgeslagen De houten schuur met inhoud totaal verbrand.		POINT(5.002119 52.382032)	5,002119	52,382032
431	Sieringweg	Bom, granaat, afweergeschut	26/03/1943	Granaat van het luchtdoelgeschut neergekomen en geëxplodeerd. Geen schade en geen persoonlijke ongelukken.		POINT(4.732018 52.429118)	4,732018	52,429118
432	Insulindeweg 154	Bom, granaat, afweergeschut	08/04/1943	Brandbommen.Zolder verbrand door brandbommen, door bewoners geblust		POINT(4.936367 52.361015)	4,936367	52,361015
433	Javaplantsoen	Bom, granaat, afweergeschut	08/04/1943	Brandbom uitgebrand.		POINT(4.945393 52.362799)	4,945393	52,362799
434	Ooster Ringdijk 18	Bom, granaat, afweergeschut	08/04/1943	Brandbommen. 1 tuinhuisje door brandbommen getroffen en vernield		POINT(4.962451 52.356509)	4,962451	52,356509
435	Zuider IJdijk 10	Bom, granaat, afweergeschut	08/04/1943	8 brandbommen. Tuinen. Geen schade.		POINT(4.958686 52.365118)	4,958686	52,365118
436	Zuider IJdijk 12	Bom, granaat, afweergeschut	08/04/1943	1 brandbom door het dak van de schuur geslagen. Schuur: `Schade: een gat in het dak, een brandgat in de vloermat en in de vloer, alsmede een voorwiel van een rijwiel met band beschadigd.`		POINT(4.958879 52.364955)	4,958879	52,364955
437	Zuider IJdijk 6	Bom, granaat, afweergeschut	08/04/1943	9 brandbommen. Geen schade		POINT(4.958138 52.365747)	4,958138	52,365747
438	Zuider IJdijk	Bom, granaat, afweergeschut	08/04/1943	3 brandbommen. 3 gaten in het wegdek van de brug		POINT(4.958096 52.365970)	4,958096	52,36597
439	Petroleumhaven	Mitrailleurvuur	10/04/1943	Beschieting met boordwapens door Engelse vliegtuigen. `2 Engelsche vliegtuigen hebben Petroleumhaven beschoten met boordwapens; 2 tanks getroffen evenals ketelhuis 1 en 2. Geen brand en geen slachtoffers.`		POINT(4.856386 52.412053)	4,856386	52,412053
440	Hemweg	Vliegtuig(onderdeel) neergestort	03/05/1943	2 vliegtuigen neergekomen.		POINT(4.830337 52.409462)	4,830337	52,409462
441	Watertorenplein	Bom, granaat, afweergeschut	03/05/1943	2 niet-ontplofte bommen, waaronder 1 van ongeveer 500 kg. Op 7 mei opgeruimd		POINT(4.867898 52.384617)	4,867898	52,384617
442	Stavangerweg 890	Bom, granaat, afweergeschut	03/05/1943	1 niet-ontplofte bom.		POINT(4.881599 52.393267)	4,881599	52,393267
443	Korte Ouderkerkerdijk 10	Luchtaanval	17/05/1943	Vier vliegtuigen voerden een aanval met mitrailleurvuur uit. 12 tijdbommen uitgeworpen, waarvan 2 ontploften. Schade door granaatinslag en scherven van granaten van het afweergeschut: Middenweg 54; Zacharias Jansestraat 20, Transvaalkade 69, Transvaalstraat 81, Pretoriusstraat 71. Schade door mitrailleurvuur: Chasséstraat 100, Amstellaan 17, Amstellaan 64, A.M.V.J.-gebouw, Gebouw Atlanta en gebouw van de Duitse Veldpost. Voorts werd glasschade gemeld aan Rivierenlaan 2-28 en Boterdiepstraat 50-60. 4 lichtgewonden door mitrailleurkogels en granaatscherven. Lichte glasschade aan de Zuidergasfabriek		POINT(4.916897 52.340492)	4,916897	52,340492
444	Ringdijk 68	Bom, granaat, afweergeschut	17/05/1943	Niet-geëxplodeerde 3,7 cm granaat van het afweergeschut gevonden op het dak.		POINT(4.919150 52.350887)	4,91915	52,350887
445	Zeeburgerdijk 228	Vliegtuig(onderdeel) neergestort	11/06/1943	Onderdeeltje van een vliegtuig gevonden. `Het dak van de loods, bestaande uit gegalvaniseerde platen, is beschadigd.`		POINT(4.939535 52.366160)	4,939535	52,36616
446	Ransdorp	Bom, granaat, afweergeschut	11/06/1943	Onbekend projectiel op het dak terecht gekomen. 3 dakpannen en 2 ruiten gesprongen.		POINT(4.992428 52.394013)	4,992428	52,394013
447	Schellingwouderdijk 420	Vliegtuig(onderdeel) neergestort	15/06/1943	Vliegtuig brandend neergestort.		POINT(4.967644 52.380380)	4,967644	52,38038
448	Mercatorstraat	Bom, granaat, afweergeschut	24/06/1943	Projectiel. waarschijnlijk afkomstig van het afweergeschut van 4 cm afgenomen van kinderen.		POINT(4.850013 52.372815)	4,850013	52,372815
449	Petroleumhavenweg 112	Mitrailleurvuur	03/07/1943	Huizen door mitrailleurvuur beschoten. Geen persoonlijke ongelukken.		POINT(4.858618 52.414095)	4,858618	52,414095
450	Arntzeniusweg 65	Omgevingsschade	03/07/1943	1 ruit vernield		POINT(4.936123 52.354763)	4,936123	52,354763
451	Bothastraat 42, nu Luthulistraat.	Bom, granaat, afweergeschut	07/07/1943	Granaat van het afweergeschut kaliber ca. 5 cm gevonden in leegstaande joodse woning		POINT(4.918764 52.352518)	4,918764	52,352518
452	Amsterdam-Noord tussen Meeuwenlaan en Buiksloterkanaal	Luchtaanval	17/07/1943	`Om 8.55 uur zijn naar schatting een vijftigtal brisantbommen afgeworpen door een veertigtal vliegtuigen boven Amsterdam Noord, in het stadsgedeelte liggende tusschen Meeuwenlaan en Buiksloterkanaal.`  Op 21 juli was de totale schade:  106 huizen vernield. 206 huizen beschadigd 667 huizen met glas- en dakschade 158 doden	Ritakerk.jpg	POINT(4.918356 52.386850)	4,918356	52,38685
453	Kwartelstraat 43 en 47	Bom, granaat, afweergeschut	03/07/1943	Kwartelstraat 34 en 37 vernietigd, alle nummers zware glas- en dakschade		POINT(4.920169 52.387510)	4,920169	52,38751
454	Buiksloterdijk	Bom, granaat, afweergeschut	17/07/1943	3 bommen in dijk en op wegdek.		POINT(4.920824 52.399565)	4,920824	52,399565
455	Floraparkweg	Bom, granaat, afweergeschut	17/07/1943	Ongeveer 10 bommen geëxplodeerd		POINT(4.920824 52.395624)	4,920824	52,395624
456	Floraparkweg	Bom, granaat, afweergeschut	17/07/1943	1 blindganger		POINT(4.920566 52.395336)	4,920566	52,395336
457	Meidoornplein 2	Bom, granaat, afweergeschut	17/07/1943	1 blindganger		POINT(4.911543 52.387734)	4,911543	52,387734
458	Nieuwendammerdijk 1	Luchtaanval	17/07/1943	Ongeveer 20 blindgangers		POINT(4.924815 52.391250)	4,924815	52,39125
459	Zunderdorp	Overig	21/07/1943	3 onbeschadigde flessen met fosforrubberoplossing gevonden.		POINT(5.002556 52.410587)	5,002556	52,410587
460	Schiphol	Bom, granaat, afweergeschut	25/07/1943	Bommen neergekomen. Zware brand.		POINT(4.801197 52.312782)	4,801197	52,312782
461	Nieuwe Batavierstraat 2	Bom, granaat, afweergeschut	27/07/1943	Niet-ontplofte granaat van het afweergeschut van circa 7 cm.		POINT(4.904033 52.370719)	4,904033	52,370719
462	Schiphol	Bom, granaat, afweergeschut	27/07/1943	Een aantal bommen neergekomen.		POINT(4.808235 52.309371)	4,808235	52,309371
463	Distelweg 96	Bom, granaat, afweergeschut	28/07/1943	Brisantbom. [In totaal 9 woonhuizen vernietigd, 11 zwaar beschadigd, 207 met glas- en dakschade; 13 doden, 22 zwaargewonden en 36 lichtgewonden]		POINT(4.902949 52.393591)	4,902949	52,393591
464	Floraparkweg	Bom, granaat, afweergeschut	05/08/1943	Blindganger gevonden		POINT(4.918978 52.395925)	4,918978	52,395925
465	Frogerweg 179	Vliegtuig(onderdeel) neergestort	07/08/1943	Benzinetank van een vliegtuig gevonden.		POINT(4.736137 52.425349)	4,736137	52,425349
466	Zunderdorp	Vliegtuig(onderdeel) neergestort	10/08/1943	Benzinetank van een vliegtuig gevonden.		POINT(4.962044 52.407760)	4,962044	52,40776
467	Nieuwe Brugsteeg 13	Bom, granaat, afweergeschut	16/08/1943	Engelse staafbrandbom (thermiet-elektron) neergekomen. Brand geblust met zand; geen schade.		POINT(4.899586 52.376238)	4,899586	52,376238
468	Frogerweg 179	Vliegtuig(onderdeel) neergestort	20/08/1943	Benzinetank van een vliegtuig gevonden.		POINT(4.729958 52.426501)	4,729958	52,426501
469	Schiphol	Bom, granaat, afweergeschut	03/10/1943	Een aantal bommen neergekomen.		POINT(4.809780 52.312677)	4,80978	52,312677
470	Nieuwe Kalfjeslaan 21	Bom, granaat, afweergeschut	03/10/1943	Een aantal bommen neergekomen		POINT(4.849091 52.321609)	4,849091	52,321609
471	Osdorperbinnenpolder	Vliegtuig(onderdeel) neergestort	07/10/1943	Vliegtuig neergekomen.		POINT(4.840679 52.384192)	4,840679	52,384192
472	Diamantstraat 60	Bom, granaat, afweergeschut	07/10/1943	Granaat van het afweergeschut ingeslagen en ontploft. Aanzienlijke schade.		POINT(4.905792 52.351639)	4,905792	52,351639
473	Osdorperweg 416	Bom, granaat, afweergeschut	10/10/1943	Benzinetank gevonden.		POINT(4.788108 52.360060)	4,788108	52,36006
474	Ooster ringdijk 18	Vliegtuig(onderdeel) neergestort	10/10/1943	Benzinetank ter grootte van ongeveer 1,5 meter en met een inhoud van ongeveer 10 liter gevonden		POINT(4.963031 52.356417)	4,963031	52,356417
475	Buikslotermeerdijk 302	Vliegtuig(onderdeel) neergestort	11/11/1943	Lege benzinetank neergekomen.		POINT(4.948547 52.408591)	4,948547	52,408591
476	Uitweg 722 	Vliegtuig(onderdeel) neergestort	11/11/1943	Lege benzinetank neergekomen		POINT(4.796197 52.344909)	4,796197	52,344909
477	Schiphol	Vliegtuig(onderdeel) neergestort	04/12/1943	Vliegtuig neergeschoten.		POINT(4.806132 52.308452)	4,806132	52,308452
478	Schiphol	Bom, granaat, afweergeschut	13/12/1943	Bomaanval. 1 dode en 1 gewonde		POINT(4.806175 52.310053)	4,806175	52,310053
479	Barnegat	Vliegtuig(onderdeel) neergestort	25/12/1943	Benzinetank van een vliegtuig gezien		POINT(4.857845 52.419173)	4,857845	52,419173
480	Dorpsstraat, Holysloot	Vliegtuig(onderdeel) neergestort	30/01/1944	Een lege benzinetank van een vliegtuig neergekomen		POINT(5.030451 52.412577)	5,030451	52,412577
481	Volewijkspark	Vliegtuig(onderdeel) neergestort	21/02/1944	Een lege benzinetank neergekomen		POINT(4.921145 52.392756)	4,921145	52,392756
482	Velserweg	Vliegtuig(onderdeel) neergestort	22/02/1944	Op het land van boer Reinierse aan de Velserweg hoek Middenweg. Een lege benzinetank gevonden.		POINT(4.843597 52.386654)	4,843597	52,386654
483	Sloterweg 532	Vliegtuig(onderdeel) neergestort	03/03/1944	Een benzinetank neergekomen		POINT(4.821560 52.341973)	4,82156	52,341973
484	Riekerweg	Vliegtuig(onderdeel) neergestort	06/03/1944	Een lege benzinetank neergekomen		POINT(4.835615 52.337266)	4,835615	52,337266
485	Riekerweg	Vliegtuig(onderdeel) neergestort	06/03/1944	Een lege benzinetank neergekomen		POINT(4.836731 52.336939)	4,836731	52,336939
486	Zunderdorp	Vliegtuig(onderdeel) neergestort	06/03/1944	Op het erf van de Teunishoeve bij Broekergouw. Een aluminium deurtje van een vliegtuig gevonden		POINT(4.967279 52.410744)	4,967279	52,410744
487	Zunderdorp	Vliegtuig(onderdeel) neergestort	06/03/1944	Op het land van boer Kubbe. Een aluminium deurtje van een vliegtuig gevonden		POINT(4.966764 52.408598)	4,966764	52,408598
488	Noorderweg	Bom, granaat, afweergeschut	06/03/1944	Een granaat ingeslagen en geëxplodeerd. Een gat van ongeveer 1 meter middellijn in de grond geslagen. Op het land op ongeveer 100 meter van boerderij Dijt aan Noorderweg.		POINT(4.738884 52.427966)	4,738884	52,427966
489	Zunderdorp	Overig	06/03/1944	Onbekend. `Een gat van ongeveer ½ m middellijn geslagen door een onbekend voorwerp, dat in de grond is weggezakt.`		POINT(4.961786 52.406346)	4,961786	52,406346
490	Noorder Ijpolder	Vliegtuig(onderdeel) neergestort	08/03/1944	In het complex volkstuinen aan de Melkweg in de Noorder IJ-polder. Een lege benzinetank naar beneden gekomen. Geen schade		POINT(4.869261 52.428568)	4,869261	52,428568
491	Kinselmeer	Vliegtuig(onderdeel) neergestort	10/03/1944	Een lege benzinetank gevonden.		POINT(5.015259 52.394563)	5,015259	52,394563
492	Holysloot 56	Vliegtuig(onderdeel) neergestort	10/04/1944	Een benzinetank neergekomen 		POINT(5.024185 52.412524)	5,024185	52,412524
493	Ransdorp	Overig	03/04/1944	Een gordel met mitrailleurpatronen neergekomen en in de grond gedrongen		POINT(4.992814 52.392049)	4,992814	52,392049
494	Noorderweg 179	Bom, granaat, afweergeschut	11/04/1944	Op het land van boer Stolwijk, een niet-ontplofte granaat in de grond gedrongen ongeveer 60 meter van de weg.		POINT(4.734721 52.427757)	4,734721	52,427757
495	Euterpestraat, nu Gerrit van der Veenstraat.	Luchtaanval	26/11/1944	Luchtaanval in duikvlucht op Amsterdam-Zuid. Bominslag in Euterpestraat en omgeving, waardoor verwoest werden: Memlingstraat 23-29 totaal verwoest. Euterpestraat 90-100 totaal verwoest (= Gerrit van der Veenstraat). Euterpestraat 71-75 totaal verwoest. Euterpestraat 83-91 totaal verwoest. Euterpestraat 91-109 totaal verwoest (gebouw S.D.). Albrecht Dürerstraat 23 totaal verwoest. Adema van Scheltemaplein (Christ. H.B.S.) totaal verwoest. Händelltraat 17 tot 19 volledig uitgebrand. Antonie van Dijkstraat: 6 huizen door luchtdruk totaal verwoest. Brahmsstraat 13 blindganger. Euterpestraat 13 [?], 18 en 20 blindganger. Bachstraat Conservatorium grote glasschade. Minervalaan en omgeving glasschade. Voorlopige slachtoffers: 6. Aantal zwaar gewonden: 7. Aantal lichtgewonden: 7.	010003041062.jpg	POINT(4.876782 52.348934)	4,876782	52,348934
496	Stadionplein	Overig	26/11/1944	Onbekend voorwerp. Een onbekend voorwerp gevonden, vermoedelijk behorend bij een in de nabijheid liggende hoeveelheid Duitse vlugschriften die ’s nachts uit een vliegtuig geworpen waren [`Nachrichten für die Truppen`]		POINT(4.856215 52.344778)	4,856215	52,344778
497	Stadionplein 26	Bom, granaat, afweergeschut	15/10/1944	Een Duitse staafbrandbom gevonden.		POINT(4.856215 52.343992)	4,856215	52,343992
498	Haarlemmerweg	Mitrailleurvuur	10/09/1944	Haarlemse tram beschoten. 2 lichtgewonden. Nadat te pl.m. 20 uur, aan deze afdeeling bericht was binnengekomen van beschieting van een tram der N.Z.H. op den Haarlemmerweg voorbij 2e molen, bleek bij onderzoek ter plaatse alles reeds vertrokken te zijn. Van marechaussee Halfweg kwam daarna Tel. Meededeling dat een tram was beschoten door een Engelsch vliegtuig met boordwapens waarbij twee personen genaamd: Nelly Maarschalkerwaard en Jan Wilner gewond geraakt waren en door de G.G. en G.D. naar het W.G. vervoerd en aldaar opgenomen zijn, Nelly Maarschalkerwaard had een schotwond aan linkerdijbeen , Jan Wilner schotwond aan rechterenkel. Verdere gegevens niet bekend.		POINT(4.807420 52.384139)	4,80742	52,384139
499	Spoorpad Diemen	Mitrailleurvuur	11/08/1944	Trein met nationaalsocialistische vluchtelingen door geallieerde vliegtuigen beschoten. Enkele wagons uitgebrand. 32 doden.		POINT(4.963503 52.346614)	4,963503	52,346614
500	Leeuwarderweg 103	Bom, granaat, afweergeschut	01/08/1940	3 bommen.		POINT(4.924335 52.394444)	4,924335	52,394444
501	Akerdijk, Lijnden	Vliegtuig(onderdeel) neergestort	21/06/1944	Vliegtuig brandend neergestort.		POINT(4.773023 52.348986)	4,773023	52,348986
502	Haarlemmerweg	Mitrailleurvuur	30/09/1944	Een tram van de N.Z.H.T.M. bestaande uit 3 wagens, rijdend van Amsterdam naar Halfweg, door vliegtuigen met boordwapens beschoten. De bovenleiding van het elektrische net en de tweede en derde tramwagen beschadigd. 2 gewonden.		POINT(4.791069 52.384034)	4,791069	52,384034
503	Zijkanaal F	Bom, granaat, afweergeschut	07/10/1944	Een projectiel van het afweergeschut ontploft. Geen schade. Geen persoonlijke ongelukken.		POINT(4.813128 52.422104)	4,813128	52,422104
504	Haarlemmermeerstraat	Bom, granaat, afweergeschut	08/10/1944	Een brandbom van Hollands of Duits fabricaat en een staartstuk van een brandbom gevonden.		POINT(4.850367 52.353986)	4,850367	52,353986
505	Hemweg	Vliegtuig(onderdeel) neergestort	01/11/1944	Brokstukken van een vliegtuig omlaag gekomen.		POINT(4.841752 52.404330)	4,841752	52,40433
507	Diemen	Mitrailleurvuur	27/11/1944	Trein beschoten. 2 doden en 7 gewonden.		POINT(4.966078 52.345408)	4,966078	52,345408
508	Jennerstraat	Vliegtuig(onderdeel) neergestort	29/11/1944	Een lege bordpapieren benzinetank neergekomen.		POINT(4.938494 52.347774)	4,938494	52,347774
509	IJselmeer	Mitrailleurvuur	23/12/1944	Een boot van de Stanfriesreederij met boordwapens beschoten. 1 opvarende gedood en 1 gewond.		POINT(5.063667 52.375914)	5,063667	52,375914
510	Frogerweg	Vliegtuig(onderdeel) neergestort	16/12/1944	Een vliegtuig van onbekende nationaliteit neergestort Ten oosten van de Frogerweg en 150 meter van de Middenweg in de Groote IJpolder.		POINT(4.728241 52.424093)	4,728241	52,424093
512	Ransdorp	Vliegtuig(onderdeel) neergestort	01/01/1945	Vliegtuig neergestort, nationaliteit onbekend. Schuur verwoest en achterzijde van perceel C 27 gedeeltelijk beschadigd. Geen slachtoffers. Een kalf gedood.		POINT(4.996805 52.392992)	4,996805	52,392992
513	Adema van Scheltemaplein	Luchtaanval	26/11/1944	Christ. H.B.S. totaal verwoest.		POINT(4.876664 52.349563)	4,876664	52,349563
514	Anthonie van Dijkstraat	Omgevingsschade	26/11/1944	Antonie van Dijkstraat: 6 huizen door luchtdruk totaal verwoest.		POINT(4.875140 52.348278)	4,87514	52,348278
515	Bachstraat	Omgevingsschade	26/11/1944	Bachstraat Conservatorium grote glasschade		POINT(4.879882 52.349464)	4,879882	52,349464
516	Warmoesstraat 142	Omgevingsschade	13/12/1943	N.V. Handelsver. v/h S.I. de Vries: alle ruiten stuk.		POINT(4.895509 52.373597)	4,895509	52,373597
517	Polderweg	Mitrailleurvuur	28/02/1945	Beschieting met boordwapens uit vliegtuigen. 2 gewonden.		POINT(4.931316 52.358069)	4,931316	52,358069
518	Haarlemmerweg	Vliegtuig(onderdeel) neergestort	25/09/1944	2 lege benzinetanks neergekomen.		POINT(4.861708 52.385056)	4,861708	52,385056
519	Sloterdijk	Vliegtuig(onderdeel) neergestort	25/09/1944	2 lege benzinetanks neergekomen.		POINT(4.848061 52.387125)	4,848061	52,387125
520	Velserweg 218	Mitrailleurvuur	14/09/1944	Een wagen met 2 paarden, geladen met aardappelen, door 4 Anglo-Amerikaansche jachtvliegtuigen met boordwapens beschoten. Een niet-ontplofte 2 cm granaat gevonden. Wagen beschadigd; paarden moesten worden afgemaakt De draad van de bovenleiding van het elektrische net aan de Velserweg is beschadigd.		POINT(4.847202 52.386523)	4,847202	52,386523
